Date,T,T2,T3
2015-12-28,-0.14,-0.16,0.876666667
2015-12-29,0.85,-0.14,0.703333333
2015-12-30,-0.37,0.85,0.06
2015-12-31,-1.07,-0.37,0.183333333
2016-01-01,0.07,-1.07,0.113333333
2016-01-04,-2.54,0.07,-0.196666667
2016-01-05,-0.31,-2.54,-0.456666667
2016-01-06,-1.05,-0.31,-1.18
2016-01-07,-0.93,-1.05,-0.926666667
2016-01-08,-1.28,-0.93,-1.3
2016-01-11,-0.78,-1.28,-0.763333333
2016-01-12,0.87,-0.78,-1.086666667
2016-01-13,-0.01,0.87,-0.996666667
2016-01-14,-1.21,-0.01,-0.396666667
2016-01-15,-2.44,-1.21,0.026666667
2016-01-18,-0.73,-2.44,-0.116666667
2016-01-19,1.5,-0.73,-1.22
2016-01-20,-3.15,1.5,-1.46
2016-01-21,1.67,-3.15,-0.556666667
2016-01-22,2.14,1.67,-0.793333333
2016-01-25,-0.09,2.14,0.006666667
2016-01-26,1.04,-0.09,0.22
2016-01-27,0.35,1.04,1.24
2016-01-28,-0.74,0.35,1.03
2016-01-29,1.16,-0.74,0.433333333
2016-02-01,0.44,1.16,0.216666667
2016-02-02,-1.78,0.44,0.256666667
2016-02-03,0.26,-1.78,0.286666667
2016-02-04,0.76,0.26,-0.06
2016-02-05,-1.23,0.76,-0.36
2016-02-08,-3.17,-1.23,-0.253333333
2016-02-09,-0.65,-3.17,-0.07
2016-02-10,1.58,-0.65,-1.213333333
2016-02-11,-2.71,1.58,-1.683333333
2016-02-12,1.75,-2.71,-0.746666667
2016-02-15,1.96,1.75,-0.593333333
2016-02-16,-0.47,1.96,0.206666667
2016-02-17,2.39,-0.47,0.333333333
2016-02-18,-0.08,2.39,1.08
2016-02-19,-0.3,-0.08,1.293333333
2016-02-22,0.57,-0.3,0.613333333
2016-02-23,-1.31,0.57,0.67
2016-02-24,-1.88,-1.31,0.063333333
2016-02-25,1.88,-1.88,-0.346666667
2016-02-26,0.47,1.88,-0.873333333
2016-02-29,0.05,0.47,-0.436666667
2016-03-01,1.55,0.05,0.156666667
2016-03-02,0.38,1.55,0.8
2016-03-03,0.68,0.38,0.69
2016-03-04,1.19,0.68,0.66
2016-03-07,-0.15,1.19,0.87
2016-03-08,-0.94,-0.15,0.75
2016-03-09,0.26,-0.94,0.573333333
2016-03-10,0.01,0.26,0.033333333
2016-03-11,2.27,0.01,-0.276666667
2016-03-14,0.25,2.27,-0.223333333
2016-03-15,-0.92,0.25,0.846666667
2016-03-16,1.1,-0.92,0.843333333
2016-03-17,0.78,1.1,0.533333333
2016-03-18,0.07,0.78,0.143333333
2016-03-21,-0.48,0.07,0.32
2016-03-22,-0.36,-0.48,0.65
2016-03-23,-0.38,-0.36,0.123333333
2016-03-24,-1.25,-0.38,-0.256666667
2016-03-25,-0.1,-1.25,-0.406666667
2016-03-28,0.4,-0.1,-0.663333333
2016-03-29,1.13,0.4,-0.576666667
