,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
2017-03-27,0.0015635723692546397,0.002419883563774525,0.0037992433238610806,-0.00561221092207188,-0.001887700542202122,-0.004936724890754814,-0.00048033005401893294,-0.0022809769292904633,-0.006432927733681841,-0.006075783261631446,-0.003899989706118769,-0.0018144319696017184,-0.002329802970311406,-0.008090692579301168,-0.007543062221847556,-0.0074314048144658775,-0.0034853550276509604,-0.002900788586599302,-0.004165666921234478,-0.0046114224392354375,-0.006424216286852172,-0.006214373142339756,-0.010815557709388936,-0.009167006278540864,-0.013125041298842932
2017-03-28,-0.008696537219582617,0.0006092960679460479,0.00019183918007635166,0.004139356020164442,0.007107362480029115,0.002307553182556927,0.0017582903986553347,0.0014869245807858868,0.0037868896500451396,0.0028776238281183705,0.00469750039800043,0.00558508782090251,0.004376239216717255,0.008407964947553302,0.0051550412214189795,0.004191062187451958,-0.0013713667258625588,0.004724158013571903,0.0065658455117132575,0.009884745374564623,0.005052464883463199,0.008025228386858181,0.010194102556070025,0.009851538117235634,0.013419269074273578
2017-03-29,0.0045199593584207675,-0.009218146540564052,0.0032349886909201213,-0.0014561753978467576,0.0004114523522206239,7.228128908779015e-05,0.00010239875379562216,0.0026845775472312664,0.0004822174734052356,0.0014703391187586073,0.005343493125895884,-0.0004786530241098605,0.0029323469134686074,0.0013085743189471593,0.006193724050597886,0.0022845349887505896,0.0014680337956259897,0.0008165541551931968,0.003040756139957316,0.0040718566495173865,0.003292740820084299,0.0017823344640423401,0.0041906095367369375,0.0026552073666321926,0.004278271755332541
2017-03-30,0.0051345163392265145,0.00420183844197661,-0.004316443450391916,0.0026932817134558934,0.0005653256038677874,0.0006525618020960003,0.002387617481845197,-0.0025054404271362234,0.004168083684110129,-0.00035811890882947044,-0.002550634904585157,0.0065623683982000474,0.0037266448787198914,0.0009575800441591751,0.001642610048352085,-0.0028045167327695737,0.0021608485373758764,0.004867666329721753,0.0016832326027875278,0.0062742838831756804,0.0034549069892392107,0.005071578047305192,0.00667595471436467,0.008811581039005425,0.010018568869189287
2017-03-31,-0.0013933676340772251,-0.0070122091192837775,0.004839317343307936,0.0018159304247124164,-0.06939186587377742,0.004289279823680519,0.004201703592284995,0.0031380227518101444,0.008818891864932527,0.006862332219248148,0.0012720784671009888,0.000873665800249419,0.004462628205079643,0.0011453917321020705,0.0029522402900612667,0.0024860866491557723,0.002901077346871967,0.0042431295784231314,0.008643281088198836,-0.0031243236193315748,0.004696205640715587,0.0020401795394346346,-0.002180644335785964,0.0016147011878543584,0.0009509235238224753
2017-04-04,-0.008687416256049534,-0.004331634867343585,0.007941216714925358,0.0008116166370529981,-0.0055174406052271455,-0.0011448224783988494,-0.0017792617388927546,0.0007797739957158073,-0.0016451145281428695,-0.002627553356411667,-0.0034753801725749987,-2.7922872991979282e-05,0.00028722169137723177,-1.7722443613225985e-05,-0.0004445070223031067,0.000998732447841645,-0.0005640388649389983,0.0023280692862537797,0.0005736245502264251,0.0013871044984209737,-0.0007963046335597584,0.0007734548325620136,0.0009405729165381388,-0.00272587202422166,0.002410817731467717
2017-04-05,0.012107259975912096,0.0008483758645015511,-0.0008651474393702094,0.0038555878760245478,0.00022166471884692325,0.002616939966249907,0.0028829826661704674,0.001292789691429515,0.0015622948695077539,0.0025338823524314246,0.003269277038144956,0.004951191698758963,0.0019071715878365945,-0.001416495318069818,0.004176600254786016,-0.0019040036310602553,-0.0011041640671145725,0.0002267611593633656,0.003780499671575545,0.005968524991160828,0.0025859249653426976,0.004847107508668152,0.0034269942475616618,0.002070137406356211,0.009527469723231655
2017-04-10,-0.001626012955243476,-0.00498666767068419,0.00867665072368031,0.0029885018440019523,0.009029453467823195,0.00045813603465193534,0.0008803351603389134,0.004363643663837009,-0.000656487109706275,0.0013890887378177547,0.0012327379570170514,0.0014561493631847664,-0.00041961333403123496,0.0034018501409255643,0.002856343147678354,-0.004335995099232761,-0.0018873155717490009,0.003069868064583379,0.0033163701714411732,0.0012386526311765986,0.002474014282096193,0.0008496331167039823,0.0014085354805387063,0.004166412886441109,0.0008217502578417967
2017-04-12,0.005155612262495844,0.006613562805695496,-0.001968911198825533,0.0016876351617265799,-0.0050264994442838365,-0.002484753077470967,-0.0006437439153332631,-0.0009008559973369173,-0.00173673181310303,0.0055753645734461545,0.0016326536382596716,0.007470288062678906,0.0033752314371557858,0.0016107016646199016,0.005638454356567535,0.007881960426535306,0.0010816948262104538,0.0019033375980121985,0.0051444266040213795,0.004348383386675591,0.0020196358451716853,0.0016025329057744728,-0.00042054452498173177,-0.0006701169438181739,-0.0006290968189992542
2017-04-13,0.0017889850117693265,0.0034726064769668628,-9.858862708060734e-05,0.011294889149389675,0.0017065264579215096,0.006189800054870284,0.00253186078926318,-0.00120409122643933,0.0011416221682517646,-0.0008460835713915243,0.0011621113657171679,-0.001607554408549389,-0.0006026184328040407,-0.0021441472373750826,-0.00283054534250377,0.004287386980211116,0.0010196595629130415,0.0007785270288278666,0.0014928512622061126,-0.003402816998834153,-0.001357331880307776,-0.0020997265897826634,-0.0014747465619141856,-0.0007215024846686089,-0.010583429579849962
2017-04-18,0.0037767380340142103,-0.009059895774653489,-0.005108665983564403,-0.017670909195337765,-0.003250396797998595,-0.008733984789033408,-0.002538923030232082,-0.0010778775994244847,-0.0053801495007248555,-0.012801753772288448,-0.00721674954401614,-0.005850184197097436,-0.012300367760190528,-0.010997545130366548,-0.011570384024103089,-0.014745758087279365,-0.0062890219543397475,-0.0101515576921198,-0.012353406045893474,-0.01602200165986385,-0.013757985929919867,-0.014532724550700845,-0.013546200126492776,-0.016474135099977832,-0.01940235670025308
2017-04-19,-0.0029567379508349356,0.00597041830197566,-0.002836739426512163,0.002606653153832911,-0.0006504587048355967,0.0033158229809744236,0.0005442893903810249,-0.003130214329509927,-0.003217450021755545,0.00048123915078921424,-0.006217464630840629,-0.0018596327579140342,-0.0012509285646068052,-0.003688969398269036,-0.001074491948487867,0.004568087745839478,0.0005116216070197799,0.0012594519015413966,0.0027432098590629375,0.004400809953570668,0.0041910856117261435,0.005731632035876964,0.009616751167679016,0.00672823307867576,0.010509263892898397
2017-04-20,0.0052809414795406545,0.0019846919568906516,0.002521211093619214,0.010393096241382432,0.0030604805999209714,-0.0018186696482464476,0.0011585802133138013,0.0023290398998036376,0.0012264632215513878,0.002750374603838819,0.0035216500068315226,0.0037070381621286327,0.0009156953581322741,0.0026241316101758036,0.0011508329479760597,-0.0009150412694387081,0.004636195680715501,5.782255895425104e-06,0.0013009985382741174,0.0010887237685828063,0.0026569112994505933,0.002243930847203372,-0.002081662046356435,0.0032907730418817193,0.011200106163134224
