Date,Mkt,SMB,HML
2016-06-08,-0.11,0.35,0.3
2016-06-09,-1.44,0.6,-0.26
2016-06-10,-2.84,0.66,0
2016-06-13,-1.53,-0.07,-0.13
2016-06-14,-2.42,0.33,-0.01
2016-06-15,1.25,-0.72,-0.02
2016-06-16,-0.94,-1.06,0.08
2016-06-17,1.8,0.25,0.91
2016-06-20,3.57,-0.83,-0.36
2016-06-21,0.05,-0.46,0.06
2016-06-22,0.71,-0.2,0.08
2016-06-23,2.24,-0.52,0.5
2016-06-24,-8.8,1.8,-2.06
2016-06-27,-4.64,-0.89,0.03
2016-06-28,2.84,-0.58,-0.03
2016-06-29,3.02,-0.91,-0.53
2016-06-30,0.96,-0.38,-0.17
2016-07-01,1.16,0.04,0.26
2016-07-04,-0.52,0.22,-0.23
2016-07-05,-2.36,-0.52,-0.6
2016-07-06,-1.26,0.19,-0.28
2016-07-07,0.55,0.13,-0.25
2016-07-08,1.41,-0.22,0.77
2016-07-11,1.63,0.17,0.3
2016-07-12,1.26,0.16,0.89
2016-07-13,-0.09,0.23,-0.25
2016-07-14,1.08,-0.14,0.82
2016-07-15,-0.93,-0.19,-0.07
2016-07-18,0.53,0.43,-0.44
2016-07-19,-0.87,0.35,-0.25
2016-07-20,1.04,-0.2,-0.12
2016-07-21,-0.06,0.27,0.46
2016-07-22,-0.35,-0.41,-0.14
2016-07-25,0.23,0.34,-0.55
2016-07-26,0.1,-0.12,-0.05
2016-07-27,1.23,0.42,0.47
2016-07-28,-0.61,0.54,-0.71
2016-07-29,1.25,-0.26,0.42
2016-08-01,-0.63,0.11,-0.59
2016-08-02,-0.53,0.65,-0.94
2016-08-03,-0.64,-0.04,0.46
2016-08-04,0.41,-0.21,0.24
2016-08-05,0.58,-0.26,0.53
2016-08-08,0.08,0.23,0.98
2016-08-09,1.22,-0.45,0.06
2016-08-10,0.36,0.15,0.32
2016-08-11,0.58,-0.52,-0.09
2016-08-12,0.07,0.34,-0.09
2016-08-15,0.26,-0.05,-0.02
2016-08-16,0.1,0.44,0.14
2016-08-17,-0.71,0.21,-0.15
2016-08-18,1.16,0.17,0.09
2016-08-19,-0.88,0.37,-0.48
2016-08-22,0.02,0.4,-0.44
2016-08-23,0.75,-0.23,0.64
2016-08-24,-0.15,0.36,0.18
2016-08-25,-0.55,0.01,0.07
2016-08-26,-0.3,-0.09,0.39
2016-08-29,-0.13,0.09,-0.29
2016-08-30,-0.02,-0.28,0.38
2016-08-31,-0.22,0.24,0.58
2016-09-01,0.39,0.36,-0.06
2016-09-02,1.4,-1.15,-0.09
2016-09-05,0.11,0.28,0.12
2016-09-06,0.68,0.57,-0.51
2016-09-07,0.2,-0.05,0.27
2016-09-08,-0.13,0.41,0.38
2016-09-09,-1.32,0.33,0.39
2016-09-12,-0.67,-0.03,-0.49
2016-09-13,-1.09,0.35,-0.61
2016-09-14,0.16,0.13,-0.33
2016-09-15,0.5,-0.27,-0.01
2016-09-16,-1.64,0.88,-0.68
2016-09-19,1.13,-0.7,0.26
2016-09-20,-0.11,-0.29,-0.46
2016-09-21,0.73,-0.17,0.79
2016-09-22,1.61,-0.61,0.33
2016-09-23,-0.51,0.3,0.09
2016-09-26,-1.12,0.68,-0.32
2016-09-27,-0.32,-0.2,-0.55
2016-09-28,0.72,0.04,0.07
2016-09-29,0.05,0.12,1.06
2016-09-30,0.25,-0.2,0.22
2016-10-03,-0.08,0.3,-0.02
2016-10-04,0.42,-0.42,0.13
2016-10-05,-0.08,0.28,0.91
2016-10-06,-0.89,-0.03,0.57
2016-10-07,-0.64,-0.14,0.77
2016-10-10,0.28,-0.6,0.37
2016-10-11,-1.4,0.35,-0.14
2016-10-12,-0.55,0.23,0.42
2016-10-13,-0.35,0.26,-0.48
2016-10-14,0.43,-0.52,0.45
2016-10-17,-0.44,0.33,0.28
2016-10-18,1.08,-0.37,0.2
2016-10-19,0.26,-0.17,0.36
2016-10-20,-0.14,-0.22,0.39
2016-10-21,-0.36,0.08,0.17
2016-10-24,0.02,-0.01,0.82
2016-10-25,-0.32,-0.08,0.5
2016-10-26,-0.16,0.01,0.12
2016-10-27,-0.12,-0.48,0.49
2016-10-28,0.4,0.12,0.35
2016-10-31,-0.46,0.25,-0.05
2016-11-01,-0.21,0.34,0
2016-11-02,-0.78,0.32,-0.7
2016-11-03,0.04,0.38,0.24
2016-11-04,-0.61,-0.01,0.04
2016-11-07,0.66,-0.74,0.52
2016-11-08,0.2,-0.51,0.16
2016-11-09,0.1,-0.58,0.11
2016-11-10,-0.26,1.23,1.38
2016-11-11,-0.81,0.19,-0.09
2016-11-14,-0.94,0.25,0.6
2016-11-15,0.3,-0.27,0.01
2016-11-16,-0.59,0.46,-0.5
2016-11-17,0.12,-0.36,-0.17
2016-11-18,-0.69,0.71,-0.43
2016-11-21,0.61,-0.31,0.3
2016-11-22,0.18,0.2,1.1
2016-11-23,-0.67,0.02,0.03
2016-11-24,0.32,-0.17,-0.19
2016-11-25,0.61,-0.31,-0.67
2016-11-28,-0.69,0.27,-0.37
2016-11-29,0.57,-0.18,-0.08
2016-11-30,0.03,-0.07,0.72
2016-12-01,0.02,0.53,1.45
2016-12-02,-0.02,0,-0.37
2016-12-05,1.36,-0.2,0.53
2016-12-06,0.55,-0.39,0.98
2016-12-07,1.23,-0.44,1.34
2016-12-08,-0.23,-0.14,0.38
2016-12-09,0.28,-0.34,-1.23
2016-12-12,0.36,0.27,0.46
2016-12-13,0.91,-0.85,-0.65
2016-12-14,-1.28,0.35,-0.1
2016-12-15,-0.43,-0.48,-0.13
2016-12-16,0.62,-0.01,-0.09
2016-12-19,-0.44,0.09,-0.59
2016-12-20,0.25,-0.3,0.42
2016-12-21,0.2,0.34,0.07
2016-12-22,-0.01,0.14,-0.15
2016-12-23,0.27,0.05,-0.09
2016-12-26,-0.02,0,0.01
2016-12-27,0.2,0.14,-0.07
2016-12-28,-0.21,0.35,-0.11
2016-12-29,0.55,0.11,-0.36
2016-12-30,0.51,0.03,0.13
2017-01-02,0.02,0.17,0.23
2017-01-03,0.02,0.03,0.71
2017-01-04,0.79,-0.07,0.04
2017-01-05,1.19,0.18,-0.23
2017-01-06,-0.7,0.04,-0.01
2017-01-09,-0.12,-0.09,-0.41
2017-01-10,0.04,0.09,0.23
2017-01-11,0.48,0.08,0.18
2017-01-12,-0.27,0.12,0.16
2017-01-13,1.03,-0.3,0.1
2017-01-16,-1.02,0.33,-0.32
2017-01-17,0.94,0.48,-0.03
2017-01-18,-0.61,-0.13,-0.04
2017-01-19,0.28,0.2,0.18
2017-01-20,0.41,0.07,0.26
2017-01-23,0.23,0.55,-0.08
2017-01-24,0.08,-0.07,0.74
2017-01-25,1.27,-0.51,0.37
2017-01-26,-0.57,0.14,-0.32
2017-01-27,-0.03,0.06,-0.34
2017-01-30,-1.04,0.32,-0.73
2017-01-31,0.42,0.31,-0.2
2017-02-01,0.48,0.33,0.19
2017-02-02,-0.14,-0.13,-0.04
2017-02-03,0.6,-0.21,0.04
2017-02-06,-0.9,0.32,-0.29
2017-02-07,-0.22,0.27,-0.74
2017-02-08,0.27,-0.1,-0.65
2017-02-09,0.26,-0.51,0.36
2017-02-10,0.05,0.25,0.11
2017-02-13,0.46,-0.11,0.39
2017-02-14,-0.2,0.31,0.37
2017-02-15,0.49,-0.1,0.12
2017-02-16,0.5,-0.02,-0.34
2017-02-17,-0.62,-0.17,-1.03
2017-02-20,0.2,0.2,0.11
2017-02-21,-0.09,-0.04,-0.15
2017-02-22,0.08,-0.32,-0.34
2017-02-23,0.2,-0.2,-0.32
2017-02-24,-1.06,-0.01,-0.4
2017-02-27,0.22,0.08,0.13
2017-02-28,0.1,0.11,-0.11
2017-03-01,1.06,-0.61,0.65
2017-03-02,-0.29,0.02,-0.12
2017-03-03,0.86,-0.19,0.56
2017-03-06,-0.68,0.14,-0.45
2017-03-07,-0.3,0.31,-0.02
2017-03-08,-0.23,0.05,-0.05
2017-03-09,0.44,-0.43,-0.24
2017-03-10,0.89,-0.01,0.23
2017-03-13,0.31,0.07,-0.03
2017-03-14,-0.77,-0.05,-0.57
2017-03-15,1.33,-0.19,0.51
2017-03-16,1.16,-0.16,0.34
2017-03-17,0.09,0.13,-0.22
2017-03-20,-0.07,0.25,-0.16
2017-03-21,0.01,-0.06,0.29
2017-03-22,-0.46,-0.21,-0.13
2017-03-23,0.63,0.07,-0.24
2017-03-24,0.07,0.07,-0.18
2017-03-27,0.25,-0.29,-0.28
2017-03-28,-0.01,-0.1,0.7
2017-03-29,-0.01,-0.16,-0.09
2017-03-30,-0.19,0.01,0.14
2017-03-31,0.14,0.03,-0.13
2017-04-03,-0.4,0.54,-0.34
2017-04-04,0.16,-0.23,-0.14
2017-04-05,-0.01,0.43,0.25
2017-04-06,-0.02,-0.1,0.11
2017-04-07,-0.28,-0.11,0
2017-04-10,0.12,0.3,-0.33
2017-04-11,0.19,-0.12,-0.34
2017-04-12,0.6,0.26,-0.71
2017-04-13,-0.73,0.35,-0.49
2017-04-14,0.05,0.01,-0.02
2017-04-17,0.29,0.02,0
2017-04-18,-0.15,0.59,-0.59
2017-04-19,-0.06,0.19,0.4
2017-04-20,0.45,-0.25,0.07
2017-04-21,-0.04,-0.09,0.12
2017-04-24,3.37,-1.32,1.08
2017-04-25,0.91,0.23,0.33
2017-04-26,0.1,0.31,-0.04
2017-04-27,-0.24,0.33,-0.86
2017-04-28,0.19,0.41,0.31
2017-05-01,-0.14,-0.02,0.09
2017-05-02,1.15,0.06,-0.35
2017-05-03,-0.49,-0.4,-0.08
2017-05-04,1.56,-0.64,-0.08
2017-05-05,0.91,-0.51,0.52
2017-05-08,-0.73,0.42,-0.18
2017-05-09,0,0.36,-0.16
2017-05-10,0.11,0.04,0.27
2017-05-11,-0.37,0.07,0.27
2017-05-12,0.9,-0.47,-0.43
2017-05-15,0.59,-0.08,0.71
2017-05-16,1.08,-0.12,0.01
2017-05-17,-0.67,0.16,-0.07
2017-05-18,-0.87,-0.19,-0.13
2017-05-19,1.63,0.19,0.17
2017-05-22,0.32,0.19,-0.05
2017-05-23,-0.15,0.08,0.07
2017-05-24,0.4,0.24,-0.13
2017-05-25,-0.09,0.15,-0.11
2017-05-26,-0.36,0.07,-0.29
2017-05-29,-0.21,0.15,-0.12
2017-05-30,0.14,0.19,-0.16
2017-05-31,0.36,0.02,-0.5
2017-06-01,0.26,0.08,-0.09
2017-06-02,0.91,-0.06,-0.24
2017-06-05,-0.45,0.06,0.08
2017-06-06,-0.37,0.03,0.2
2017-06-07,-0.07,-0.03,0.45
2017-06-08,-0.4,0.36,0.25
2017-06-09,-0.01,-0.5,0.52
2017-06-12,-0.82,-0.25,0.71
2017-06-13,0.69,0.39,-0.35
2017-06-14,-0.06,0.4,-0.56
2017-06-15,-1.18,-0.35,0.11
2017-06-16,1.07,0.08,-0.52
2017-06-19,0.44,-0.36,0.09
2017-06-20,-0.78,0.18,-0.49
2017-06-21,0.05,0.13,0.18
2017-06-22,-0.06,0.05,-0.23
2017-06-23,0.09,0.31,0.04
2017-06-26,0.25,-0.21,-0.02
2017-06-27,0.53,0.13,0.85
2017-06-28,0.33,-0.11,0.53
2017-06-29,-0.76,0.6,0.86
2017-06-30,-0.3,0.64,-0.33
2017-07-03,0.35,-0.91,1.02
2017-07-04,-0.4,0.06,0.31
2017-07-05,0.21,0.13,-0.3
2017-07-06,-0.03,0.17,0.7
2017-07-07,-0.2,0.06,-0.33
2017-07-10,0.38,-0.28,0.02
2017-07-11,-0.06,0.1,0.44
2017-07-12,0.95,-0.53,-0.4
2017-07-13,0.28,0.25,0.13
2017-07-14,0.8,0.19,-0.23
2017-07-17,0.16,0.25,0
2017-07-18,-0.2,0.34,0.03
2017-07-19,0.28,-0.15,-0.1
